Code,Description
7409,BURNER CAP WRONG PART
7411,BURNER CAP DAMAGED
7412,BURNER CAP ASM WRONG
7450,BURNER HEAD DAMAGED
7451,BURNER HEAD DEFECTIVE
7452,BURNER HEAD MISSING
7453,BURNER HEAD WRONG PART
7475,BURNER BASE DAMAGED
7476,BURNER BASE DEFECTIVE
7477,BURNER BASE MISSING
7478,BURNER BASE ASM WRONG
7701,DOOR LABEL MISSING
7702,MAINTOP LABEL MISSING
7703,WIRE COVER LABEL MISSING
7704,INSTALLATION LABEL  MISS
7705,INSTALLATION LABEL  WRNG
7709,BADGE MISSING
7710,BADGE ALIGNMENT
7800,BAKE IGNITOR DAMAGED
7801,BAKE IGNITOR DEFECTIVE
7802,BAKE IGNITOR ASM WRONG
7803,BAKE IGNITOR LOOSE
7804,BAKE IGNITOR MISSING
7805,BAKE IGNITOR UNPLUGGED
7806,BAKE IGNITOR WRONG
7807,BROIL IGNITOR DAMAGED
7808,BROIL IGNITOR DEFECTIVE
7809,BROIL IGNITOR ASM WRONG
7810,BROIL IGNITOR LOOSE
7811,BROIL IGNITOR MISSING
7812,BROIL IGNITOR UNPLUGGED
7813,BROIL IGNITOR WRONG
7814,IGNITOR DAMAGED
7815,IGNITOR DEFECTIVE
7816,IGNITOR ASMBD WRONG
7817,IGNITOR LOOSE
7818,IGNITOR MISSING
7819,IGNITOR UNPLUGGED
7820,IGNITOR WRONG
7825,BAKE IGNITOR DISTORTION
7830,BROIL IGNITOR DISTORTION
7850,ELECTRODE DAMAGED
7851,ELECTRODE DEFECTIVE
7852,ELECTRODE ASMD WRONG
7853,ELECTRODE UNPLUGGED
7916,THERMOSTAT SWITCH DEF
7917,THERMOSTAT SWITCH ASM WG
7918,THERMOSTAT SWITCH WRONG
7927,THERMOSTAT SWITCH MISSIN
7928,THERMOSTAT SWITCH UNPLUG
7929,HIPOT THERMOSTAT SWITCH
8201,MAINTOP STRIKE DEFECTIVE
8202,MAINTOP STRIKE LOOSE
8203,MAINTOP STRIKE MISSING
9009,ERC OVERLAY LOOSE
9010,ERC OVERLAY DAMAGED
9011,ERC OVERLAY DEFECTIVE
9012,OVERLAY ASM WRONG
9013,OVERLAY MISSING
9014,OVERLAY UNPLUGGED
9015,ERC OVERLAY WRONG PART
9016,ERC OVERLAY MISSING
9017,DR/DRW OVRLAY WRG PART
9018,ERC OVERLAY UNPLUGGED
9019,TRASH BHD OVERLAY DEFECT
9020,ERC NOT FLASHED
9500,TRASH IN DOOR
9501,CONTROL PANEL ASM DIRTY
9502,MAINTOP DIRTY
